id,y_2012,y_2014,y_2015,y_2016,y_2017,y_2018,y_2020,y_2021
2,411.226,411.226,411.226,410.558,410.558,410.558,410.558,410.558
3,1155.878,1155.878,1155.878,1155.897,1155.897,1155.897,1155.897,1155.897
4,329.248,329.248,329.248,329.242,329.242,329.242,329.242,329.242
5,167.144,167.144,167.144,167.142,167.142,167.142,167.142,167.142
6,403.229,403.229,403.229,403.221,403.221,403.221,403.221,403.221
7,547.912,547.912,547.912,547.902,547.902,547.902,547.902,547.902
8,596.542,596.542,596.542,596.529,596.529,596.529,596.529,596.529
9,93.564,93.564,93.564,93.563,93.563,93.563,93.563,93.563
10,551.256,551.256,551.256,551.246,551.246,551.246,551.246,551.246
11,510.099,510.099,510.099,510.089,510.089,510.089,510.089,510.089
12,158.841,158.841,158.841,158.838,158.838,158.838,158.838,158.838
13,457.42,457.42,457.42,457.412,457.412,457.412,457.412,457.412
14,436.161,436.161,436.161,436.152,436.152,436.152,436.152,436.152
15,690.266,690.266,690.266,690.254,690.254,690.254,690.254,690.254
16,725.322,725.322,725.322,723.974,723.974,723.974,723.974,723.974
17,453.564,453.564,453.564,453.564,453.564,453.564,453.564,453.564
18,615.18,615.18,615.18,615.168,615.168,615.168,615.168,615.168
19,838.04,838.04,838.04,838.024,838.024,838.024,838.024,838.024
20,399.223,399.223,399.223,399.216,399.216,399.216,399.216,399.216
21,912.338,912.338,912.338,912.321,912.321,912.321,912.321,912.321
22,314.255,314.255,314.255,314.25,314.25,314.25,314.25,314.25
23,281.167,281.167,281.167,281.161,281.161,281.161,281.161,281.161
24,180.255,180.255,180.255,180.077,180.077,180.077,180.077,180.077
25,653.016,653.016,653.016,653.005,653.005,653.005,653.005,653.005
26,1128.156,1128.156,1128.156,1128.502,1128.502,1128.502,1128.502,1128.502
27,320.826,320.826,320.826,320.821,320.821,320.821,320.821,320.821
28,194.036,194.036,194.036,194.033,194.033,194.033,194.033,194.033
29,408.309,408.309,408.309,408.301,408.301,408.301,408.301,408.301
30,476.84,476.84,476.84,477.158,477.158,477.158,477.158,477.158
31,384.715,384.715,384.715,384.708,384.708,384.708,384.708,384.708
32,86.835,86.835,86.835,86.833,86.833,86.833,86.833,86.833
33,259.085,259.085,259.085,259.08,259.08,259.08,259.08,259.08
34,928.051,928.051,928.051,928.197,928.197,928.197,928.197,928.197
35,2279.343,2279.343,2279.343,2279.301,2279.301,2279.301,2279.301,2279.301
36,593.652,593.652,593.652,593.641,593.641,593.641,593.641,593.641
37,243.224,243.224,243.224,243.219,243.219,243.219,243.219,243.219
38,1887.14,1887.14,1887.14,1874.992,1874.992,1874.992,1874.992,1874.992
39,668.818,668.818,668.818,668.805,668.805,668.805,668.805,668.805
40,347.881,347.881,347.881,347.875,347.875,347.875,347.875,347.875
41,313.154,313.154,313.154,313.148,313.148,313.148,313.148,313.148
42,352.278,352.278,352.278,352.271,352.271,352.271,352.271,352.271
43,358.095,358.095,358.095,358.088,358.088,358.088,358.088,358.088
44,223.149,223.149,223.149,223.145,223.145,223.145,223.145,223.145
45,952.283,952.283,952.283,965.138,965.138,965.138,965.138,965.138
46,286.527,286.527,286.527,286.522,286.522,286.522,286.522,286.522
47,139.456,139.456,139.456,139.453,139.453,139.453,139.453,139.453
48,1896.344,1896.344,1896.344,1896.299,1896.299,1896.299,1896.299,1896.299
49,1203.984,1203.984,1203.984,1203.962,1203.962,1203.962,1203.962,1203.962
50,267.689,267.689,267.689,267.684,267.684,267.684,267.684,267.684
51,281.899,281.899,281.899,281.893,281.893,281.893,281.893,281.893
52,501.484,501.484,501.484,501.475,501.475,501.475,501.475,501.475
53,436.891,436.891,436.891,436.883,436.883,436.883,436.883,436.883
54,833.491,833.491,833.491,833.696,833.696,833.696,833.696,833.696
55,552.613,552.613,552.613,552.602,552.602,552.602,552.602,552.602
56,293.45,293.45,293.45,293.444,293.444,293.444,293.444,293.444
57,167.685,167.685,167.685,167.682,167.682,167.682,167.682,167.682
58,218.507,218.507,218.507,218.503,218.503,218.503,218.503,218.503
59,344.538,344.538,344.538,344.53,344.53,344.53,344.53,344.53
60,801.078,801.078,801.078,801.064,801.064,801.064,801.064,801.064
61,301.212,301.212,301.212,301.206,301.206,301.206,301.206,301.206
62,291.053,291.053,291.053,291.047,291.047,291.047,291.047,
