"id","y_2011","y_2012","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019","y_2020","y_2021","y_2022"
2,0,0,0,2,1,4,5,5,51,7,14,5
3,20,184,39,817,400,453,206,1314,43,11,9,13
4,4,0,1,5,5,7,3,5,10,4,4,2
5,1,0,0,0,0,0,0,0,0,3,3,3
6,0,0,0,0,0,1,2,3,2,14,27,28
7,3,2,2,3,3,4,4,8,6,6,2,8
8,9,5,3,6,3,0,31,4,3,9,12,23
9,0,2,2,8,10,13,13,11,8,5,6,21
10,1,0,0,8,4,13,11,19,10,19,30,20
11,5,8,16,15,14,15,12,19,24,12,27,9
12,0,0,0,0,0,0,0,0,0,0,0,0
13,78,0,12,8,2,1,1,0,0,1,0,4
14,0,0,0,0,0,0,0,0,5,2,1,1
15,1,2,8,5,11,3,0,2,2,6,1,4
16,0,1,0,0,0,0,0,0,0,0,0,1
17,0,0,0,0,0,0,1,0,0,1,1,8
18,3,0,11,21,29,37,31,13,39,59,72,68
19,0,3,4,2,0,18,8,4,1,5,1,3
20,0,0,0,0,0,0,0,0,0,10,10,0
21,2,44,3,11,1,1,2,6,396,2,0,716
22,0,0,182,0,0,0,415,483,362,320,45,21
23,0,1,0,0,0,1,0,0,0,1,0,0
24,0,0,0,0,0,0,1,1,0,3,4,3
25,0,0,0,8,9,11,35,0,0,2,0,0
26,0,1,1,0,1,13,3,3,6,2,0,2
27,0,0,0,0,0,0,1,2,5,17,0,0
28,6,4,1,6,7,5,7,19,3,3,3,7
29,0,0,0,0,0,1,0,0,1,2,0,1
30,0,163,120,112,0,42,12,19,14,0,30,1
31,0,0,0,2,6,3,0,0,0,0,1,1
32,0,0,0,0,0,0,0,0,0,0,0,0
33,5,6,5,0,0,0,0,0,0,0,2,1
34,13,14,8,8,25,9,206,155,39,13,27,122
35,24,40,57,101,36,86,37,7,29,71,92,172
36,2,272,14,5,4,4,1,0,0,0,0,0
37,0,3,9,3,7,6,136,38,32,17,13,39
38,0,0,0,0,0,0,0,1,0,30,197,227
39,7,10,9,12,22,12,0,1,0,1,2,3
40,0,0,0,4,7,18,18,2,3,8,0,8
41,0,0,0,0,1,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0
43,1,8,6,3,1,2,1,1,1,1325,0,3
44,6,2,5,6,3,1,4,2,0,2,2,2
45,64,66,33,34,376,133,537,269,92,14,4,1
46,0,0,0,0,0,0,0,0,0,0,0,2
47,0,0,1,0,2,1,0,0,1,1,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0
49,3,0,6,15,0,0,0,2,5,3,1,2
50,0,0,0,0,0,0,0,0,1,1,1,0
51,0,0,0,36,77,1,15,33,5,26,122,0
52,0,0,0,34,221,0,0,0,0,1,1,1
53,0,1,2,0,0,0,0,1,0,331,0,0
54,1,1,0,0,12,1,0,0,0,2,2,1
55,0,0,1,2,1,1,7,2,0,1,37,24
56,0,0,5,0,0,0,0,0,1,0,0,0
57,26,0,0,0,0,0,20,52,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0
59,0,1,0,0,0,0,0,7,1,2,15,194
60,0,102,0,511,0,0,0,0,0,0,197,0
61,0,0,1,0,0,0,0,1,1,0,0,1
62,0,0,0,0,0,0,0,0,0,0,0,0
64,1,0,125,146,1,0,0,370,1,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,80
66,0,0,0,0,0,0,0,0,0,0,0,330
67,0,274,0,0,0,0,0,202,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0
69,0,1,1,102,0,1,382,5,0,1,0,1
70,0,0,0,0,0,0,0,0,3,1,2,3
71,0,0,15,0,0,0,0,1,0,0,0,0
72,0,287,0,152,470,54,0,0,248,0,0,78
73,28,9,25,19,18,25,39,32,17,90,132,63
74,0,0,0,0,0,0,0,0,0,0,0,0
75,16,115,116,41,1,71,326,0,0,0,0,0
76,73,96,162,70,20,0,0,1,0,222,46,44
77,29,43,471,7,0,0,0,40,29,27,21,190
78,36,29,25,13,0,0,14,68,35,1,0,2
79,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,166,5
81,0,0,0,13,0,0,0,0,82,0,0,0
82,0,0,0,202,33,2,0,0,0,0,0,282
83,2,2,0,2,4,1,2,5,3,2,2,2
84,0,0,1,0,9,16,25,109,0,0,1,1
85,2,0,0,1,0,0,0,3,8,2,8,7
86,0,0,0,34,0,0,7,2,0,0,0,23
87,0,0,0,14,1,11,31,2,4,2,3,1
88,3,0,0,0,11,13,6,10,2,3,46,60
89,0,0,0,0,1,0,0,0,0,1,0,0
90,0,0,0,0,0,1,2,1,0,0,0,6
91,0,0,0,0,0,0,0,0,0,1,0,0
92,0,0,130,22,137,0,0,18,24,96,260,0
93,0,0,0,0,0,0,0,0,0,0,13,0
94,0,0,0,0,0,0,0,0,0,0,2,157
95,0,0,0,0,0,0,0,0,0,0,0,0
96,5,317,51,56,57,44,184,324,0,0,0,0
97,0,0,0,0,10,39,186,62,0,0,0,1
98,8,0,11,37,17,104,135,1,2,75,62,108
99,0,0,0,1,0,0,0,0,1,1,7,8
100,0,0,0,0,0,0,0,0,0,1,0,1
101,0,0,1,0,0,0,1,4,1,0,0,0
102,0,0,0,1,0,0,1,1,5,6,4,2
103,0,1,0,0,1,0,370,0,0,0,37,2
105,36,26,94,141,209,91,38,5,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,1,1,0
108,0,1,0,0,0,0,1,2,1,35,17,10
109,11,18,46,27,19,6,2,242,3,17,28,2
110,0,0,3,1,1,3,5,268,4,36,73,94
111,106,20,70,61,29,100,151,176,74,0,12,0
112,0,7,14,35,40,27,2,7,0,19,8,71
113,22,12,54,28,42,23,69,4,103,84,45,33
114,0,0,5,0,67,0,0,2,0,2,4,88
115,147,624,111,38,1,0,0,0,0,0,0,0
116,45,31,46,48,61,45,25,159,193,484,298,135
117,17,26,47,37,20,38,107,77,7,12,41,24
118,0,1,10,8,10,0,0,2,3,0,0,1
119,0,0,0,0,0,0,1,56,98,59,2,5
120,4,1,3,3,6,4,4,13,4,7,10,7
121,0,0,0,0,0,0,0,1,0,1,0,1
122,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,1,1,1,1,0
124,0,0,0,0,0,0,0,0,188,26,38,0
125,11,9,13,14,1,19,12,14,36,36,127,90
126,0,17,62,46,59,62,45,6,11,25,14,0
127,1,1,0,0,0,0,1,0,0,0,1,5
128,0,0,0,0,0,0,0,0,1,3,1,0
129,0,0,0,0,0,0,0,0,0,0,0,0
130,1,6,2,6,4,39,54,60,61,49,37,14
131,14,21,37,23,0,0,0,0,29,0,0,0
132,0,0,1,0,0,0,2,13,11,5,2,4
133,0,0,3,3,1,3,1,2,4,4,2,0
134,0,0,0,0,0,0,28,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,135
136,16,8,14,16,18,9,0,1,18,28,13,65
137,3,5,1,0,6,1,0,0,1,4,1,6
138,0,0,0,0,0,0,2,4,0,22,2,7
139,0,0,0,0,0,0,5,0,7,2,3,4
140,0,86,0,2,0,1,0,106,1,74,2,36
141,1,0,0,0,1,0,0,1,1,1,2,2
142,1,0,1,0,0,6,10,1,0,9,22,1
143,2,1,0,2,3,6,2,5,22,2,1,2
144,0,3,4,16,16,5,0,1,2,0,24,20
145,0,0,0,0,0,1,0,1,0,0,0,1
146,3,15,0,0,35,0,0,0,0,0,1,1
147,16,8,3,12,28,11,0,1,0,0,0,5
148,12,5,0,1,2,22,21,9,4,6,0,3
149,5,24,52,1,0,0,0,2,6,4,3,16
150,0,0,0,0,1,0,0,1,58,0,83,0
151,20,12,144,2,7,16,0,0,0,0,0,0
152,2,0,1,0,1,2,6,14,7,9,5,6
153,0,0,0,1,0,3,0,0,0,204,103,37
154,0,0,0,0,0,0,1,0,4,1,2,0
155,11,10,13,21,369,15,1,4,2,7,278,524
156,26,27,52,1083,16,32,4,14,103,74,52,67
