id,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
2,11,6,10,12,9,18,14,7,10
3,21,32,21,21,35,34,31,30,35
4,5,6,9,8,11,17,17,9,11
5,4,5,8,8,10,,,5,6
6,9,13,11,18,14,16,18,9,3
7,5,7,12,,11,12,,9,14
8,,,,,,,,6,5
9,,,,,,,,,
10,20,14,14,17,23,,,8,12
11,10,18,12,10,13,18,19,24,15
12,15,17,21,28,32,19,23,36,33
13,11,9,6,10,10,,10,14,10
14,36,35,31,43,38,47,36,53,30
15,8,10,12,8,16,,15,12,14
16,35,36,30,44,38,39,45,39,33
17,31,34,21,30,31,24,36,27,20
18,15,10,16,22,22,26,26,29,30
19,25,13,22,30,23,31,29,18,29
20,28,26,33,17,34,20,24,34,27
21,6,12,18,26,24,9,12,23,21
22,2,,,,,,,5,
23,15,9,6,8,11,,,12,10
24,10,6,6,10,11,,,7,5
25,21,40,30,34,45,44,27,37,34
26,37,35,35,23,21,21,22,22,23
27,35,25,34,34,42,39,34,38,52
28,,6,4,8,,,14,12,10
29,4,14,8,13,10,13,,17,9
30,12,8,11,15,11,9,10,13,9
31,15,14,21,19,20,17,,20,17
32,5,,,,,,,,
33,8,,4,6,,,,5,6
34,17,18,14,17,18,20,19,27,23
35,10,5,9,10,,8,9,19,8
36,24,11,21,11,15,12,10,15,12
37,9,16,14,5,15,,11,8,6
38,27,19,21,19,23,23,17,16,21
39,42,32,30,33,41,28,31,47,44
40,24,22,17,23,24,12,20,34,33
41,4,16,13,18,16,,,8,7
42,9,4,10,11,10,15,15,18,16
43,13,8,7,13,13,12,,17,16
44,,,,,,,,,
45,22,17,15,32,27,37,45,55,52
46,18,20,18,13,16,19,16,23,17
47,,,,,,,,,
48,25,25,20,33,27,10,12,11,19
49,19,20,21,21,30,18,23,22,15
50,33,34,20,30,33,22,24,41,26
51,5,,,4,,,,,
52,13,10,10,11,13,,,17,10
53,17,16,27,21,25,30,26,22,22
54,10,14,13,22,24,11,20,16,23
55,10,21,13,9,15,16,12,16,13
56,8,7,7,6,,13,9,9,15
57,6,14,22,10,8,13,20,15,19
58,7,18,14,13,21,12,12,20,14
59,11,10,11,24,18,16,18,19,10
60,6,9,10,13,10,10,,7,6
61,5,5,8,9,10,,,6,7
62,,,,,,,,,
64,15,8,16,13,9,7,13,14,16
65,,,,6,,,10,9,6
66,11,8,4,,,,,6,6
67,,,,,,,,,
68,19,23,29,27,22,23,18,23,27
69,4,5,6,5,12,,14,11,21
70,18,10,13,15,8,13,16,8,11
71,15,24,15,20,21,22,15,27,26
72,15,19,17,19,16,19,13,22,28
73,23,24,26,20,24,31,19,25,31
74,,9,4,7,,,,,
75,24,30,29,26,24,23,36,34,28
76,22,31,26,21,35,28,25,29,33
77,44,62,52,43,58,62,47,55,41
78,20,15,27,14,25,19,20,27,25
79,12,7,8,7,18,10,,11,13
80,17,14,8,8,11,18,10,8,17
81,9,12,7,9,11,,12,11,8
82,13,21,14,28,30,22,32,24,30
83,8,19,18,16,15,13,15,22,13
84,4,8,,,,,,5,5
85,26,21,17,14,18,17,12,14,14
86,22,10,18,15,15,22,14,22,13
87,7,8,12,7,,,,,
88,10,8,12,11,12,10,10,13,19
89,19,21,12,19,21,19,18,11,8
90,9,6,9,6,11,,,7,5
91,35,30,29,28,39,22,28,32,29
92,6,7,8,,,,14,8,10
93,16,8,20,18,11,13,,16,10
94,5,9,12,14,9,,,15,16
95,13,17,20,26,10,,14,16,15
96,30,29,28,45,35,35,47,49,35
97,26,31,29,26,28,29,22,32,31
98,20,34,33,34,36,28,31,43,34
99,10,11,20,19,14,20,12,13,11
100,12,15,11,9,22,16,11,20,11
101,16,8,14,16,12,14,14,16,14
102,10,15,18,12,13,,,18,11
103,17,14,11,21,24,9,14,17,26
105,,,7,9,,11,,5,6
106,8,10,8,4,,,,10,10
107,19,23,19,29,23,23,25,15,11
108,27,16,15,17,18,11,10,19,16
109,12,15,31,31,14,15,,26,13
110,10,19,12,14,15,13,13,10,20
111,26,24,26,26,34,38,38,50,45
112,7,13,7,17,,,16,10,9
113,38,44,50,44,52,36,45,42,43
114,10,6,7,5,8,9,,7,16
115,41,51,69,77,85,87,106,85,110
116,17,32,35,29,23,20,32,39,14
117,38,37,46,57,67,53,52,77,60
118,16,16,13,14,16,13,13,20,16
119,11,10,18,13,15,,11,17,14
120,16,9,15,15,22,12,14,13,20
121,21,10,15,24,21,26,14,17,32
122,,,,,,,,,
123,22,16,26,27,18,18,13,27,9
124,14,18,17,11,18,14,10,13,16
125,19,25,47,37,35,23,34,38,18
126,,3,,4,,,,10,8
127,14,9,9,13,10,10,,16,20
128,13,15,29,26,20,12,19,31,25
129,9,14,14,9,10,15,9,17,20
130,9,5,11,7,,,12,10,9
131,19,26,20,23,28,24,22,26,34
132,,,,,,,,,
133,6,8,7,,,,,5,7
134,11,8,14,12,11,12,10,17,9
135,8,5,3,8,11,15,12,9,4
136,13,12,7,11,14,10,10,14,12
137,21,18,20,27,23,15,20,25,29
138,6,5,11,4,12,16,,,4
139,17,14,15,17,10,,9,19,13
140,22,33,31,31,34,17,25,35,31
141,3,10,5,11,13,,,8,8
142,17,19,25,30,22,18,29,30,25
143,5,7,10,9,12,,14,8,15
144,25,22,29,29,33,24,27,19,34
145,20,25,19,28,29,23,15,30,28
146,18,21,39,42,39,15,20,30,28
147,10,15,17,23,21,22,22,28,28
148,24,23,32,14,27,29,24,16,20
149,16,5,10,13,,13,,10,8
150,13,15,20,25,20,13,16,33,28
151,57,45,58,62,62,72,80,92,78
152,6,7,12,11,,9,10,11,12
153,55,33,57,61,45,64,42,69,66
154,38,20,31,42,33,35,31,46,34
155,25,25,16,21,28,18,19,31,32
156,32,36,35,49,41,33,28,39,50
157,7,12,8,7,,,,4,11
158,55,42,35,46,38,33,42,42,32
159,5,10,16,7,9,,,8,10
160,25,34,25,39,37,22,22,23,26
161,22,20,11,13,15,13,12,19,17
162,11,22,18,19,15,20,12,32,15
163,4,6,5,3,,,,6,8
164,18,30,22,36,26,18,19,30,34
165,22,16,22,15,32,26,19,24,24
166,10,13,9,7,,,,11,11
167,5,,12,5,,,,,
168,9,16,13,6,10,17,17,13,13
169,19,20,30,30,30,29,39,41,51
170,23,23,32,38,26,40,33,35,38
171,,9,,11,,,,8,5
172,30,22,34,44,37,33,45,45,64
173,11,16,16,19,8,19,22,13,22
174,16,15,14,20,29,22,21,21,16
175,26,22,17,15,14,,14,8,18
176,35,25,40,37,27,46,36,50,48
177,11,9,8,8,,13,11,15,11
178,,,3,6,,,,,5
179,14,12,14,15,11,17,11,11,15
180,11,15,19,13,18,14,13,23,16
181,20,16,13,14,18,19,15,18,19
182,7,7,9,9,,,,8,3
183,3,,3,3,6,11,,7,5
184,,,,,,,,,10
185,12,28,17,26,28,17,14,20,19
186,28,23,28,26,29,31,26,43,23
187,8,12,13,14,12,13,13,19,14
188,20,22,15,13,23,25,19,28,23
189,9,10,9,12,,,10,11,13
190,11,5,9,12,13,15,17,5,7
191,38,24,34,25,30,22,25,31,26
192,8,16,17,18,24,31,19,30,29
193,11,15,5,15,13,,,13,20
194,30,51,49,42,37,51,41,41,49
195,21,25,24,34,35,31,34,38,44
196,29,28,21,30,25,17,32,24,20
197,17,17,11,19,22,,16,24,21
198,5,10,13,15,12,,11,11,9
199,23,27,34,23,21,28,22,28,24
200,5,5,5,6,,12,,12,12
201,20,22,12,19,17,17,19,20,26
202,18,17,19,28,29,20,23,33,31
203,10,16,14,21,25,18,24,23,25
204,9,15,17,19,11,16,25,21,32
205,16,4,11,6,,,,14,14
206,13,11,18,13,17,14,14,15,14
207,6,,9,9,12,10,13,13,14
208,12,21,24,21,16,18,13,14,23
209,36,47,37,54,38,40,49,45,56
210,8,,5,8,,,,10,15
211,29,21,27,36,43,27,34,42,37
212,8,7,7,8,12,,,8,5
213,6,13,10,12,15,,,12,14
215,11,8,7,9,,,,7,6
216,,8,,,,,,,
217,7,9,7,7,,,12,7,7
218,23,24,22,23,16,26,14,26,21
219,6,9,7,12,,,,11,8
220,20,18,16,18,23,16,26,21,15
221,25,16,13,13,18,20,12,16,23
222,8,5,,5,,,,4,
223,26,20,25,12,22,13,26,21,19
224,17,19,16,15,18,14,15,20,16
225,6,7,7,15,,17,15,12,10
226,10,,5,,,,,,4
227,20,29,33,29,37,30,24,31,27
228,8,,16,15,,,,10,7
229,19,17,20,29,32,34,31,52,44
230,5,4,,12,,,,5,8
231,24,22,25,28,37,26,30,29,34
232,20,23,24,27,34,26,30,36,38
233,9,19,11,20,11,20,15,18,13
234,38,37,44,48,38,29,36,44,40
235,20,9,12,19,,11,16,15,21
236,5,6,5,5,,,,6,
237,33,31,38,30,41,34,30,47,41
238,31,24,37,29,23,22,19,43,27
240,7,,6,7,,,,6,
241,11,5,12,11,12,11,12,19,19
242,19,26,24,20,24,16,15,22,18
243,,,,,,,,,12
244,23,35,26,20,22,14,11,24,28
245,10,8,7,12,,,11,14,6
246,18,20,16,15,23,,16,24,9
247,4,7,,8,7,,,12,7
248,10,11,9,12,,10,20,9,10
249,7,11,8,9,10,16,11,10,14
250,21,23,19,13,15,,17,14,8
251,18,25,34,25,25,27,26,32,40
252,8,11,8,6,,,,8,7
253,20,14,16,29,29,27,31,21,29
254,,,,,,,,,6
255,31,32,32,37,30,47,38,43,32
256,13,7,21,22,23,22,26,31,32
257,37,44,37,38,44,41,60,63,83
258,34,40,36,27,39,37,41,28,30
259,24,26,18,27,29,24,15,27,21
260,36,32,25,40,33,29,36,29,22
261,25,19,19,27,26,25,16,22,25
262,24,20,22,24,28,20,27,21,16
263,18,19,20,20,13,16,18,17,24
264,18,13,22,24,37,16,25,21,38
265,12,15,13,19,17,19,18,17,19
266,29,37,37,30,24,37,30,27,42
267,42,43,35,55,52,52,46,68,67
268,26,20,17,25,23,17,18,26,28
269,18,21,22,20,29,16,16,22,35
270,11,11,7,13,10,13,,11,5
