id,y_2011,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
2,2.24,2.27,1.92,1.6,1.91,2.32,7.95,7.91
3,3.82,4.32,4.19,3.93,5.29,4.45,5.86,5.82
4,1.07,1.23,1.08,1.1,1.27,1.42,3.03,3.19
5,1.32,1.58,1.23,1.3,1.7,1.83,0.89,0.96
6,3.02,3.05,2.74,2.29,2.91,2.85,3.25,2.99
7,0.88,0.89,0.86,0.71,0.73,0.77,1,0.98
8,0.74,0.72,0.66,0.63,0.73,0.75,0.71,0.74
9,0.34,0.43,0.22,0.23,0.43,0.28,0.57,0.46
10,4.79,5.07,3.87,3.25,3.84,3.86,3.26,3.05
11,2.34,2.84,2.99,2.65,3.4,3.42,3.58,3.59
12,3.82,4.39,4.27,4.08,5.29,5.83,5.63,6.03
13,3.24,3.08,2.68,2.47,3.1,3.71,3.94,3.85
14,5.8,6.14,4.89,4.63,5.29,5.43,5.4,5.32
15,2.03,1.97,1.57,1.58,1.65,1.68,1.44,1.5
16,6.49,7.31,6.53,6.25,7.61,7.88,11.9,12.46
17,5.83,5.34,5.32,4.56,5.72,5.66,5.95,5.87
18,2.26,2.87,2.78,2.95,3.48,3.79,4.56,4.33
19,3.45,3.57,3,2.94,3.28,3.54,3.22,2.97
20,4.02,4.3,3.49,3.16,4.17,4.04,4.01,3.94
21,4.47,5.12,4.45,4.24,5.47,5.03,3.37,3.5
22,0.56,0.55,0.49,0.37,0.43,0.43,0.44,0.46
23,1.87,2.44,1.81,1.76,2.26,2.26,1.86,1.85
24,1.77,1.7,1.42,1.35,1.37,1.21,0.76,0.8
25,4.92,4.77,4.54,4.08,5.14,5.63,5.41,5.48
26,5.29,4.47,3.71,2.76,3.16,3.28,3.62,3.38
27,5.39,5.49,4.97,5.01,5.73,6.07,5.69,5.47
28,1.03,1.15,1.22,1.11,1.28,1.41,1.23,1.13
29,1.42,1.24,1.18,1.1,1.36,1.43,1.58,1.6
30,2.92,3.1,2.96,2.65,3.16,3.25,3.01,2.98
31,2.13,2.24,2.1,2.04,2.36,2.4,2.41,2.67
32,0.21,0.24,0.19,0.19,0.17,0.18,0.17,0.14
33,1.21,1.12,0.81,0.95,1.21,1.17,1.37,1.51
34,3.29,3.85,3.07,2.81,3.54,4.37,5.24,6.1
35,1.5,1.98,1.73,1.52,1.97,2.08,2.35,2.25
36,2.07,2.07,1.78,1.72,2.05,2,1.93,2.06
37,2.69,2.46,2.19,1.81,1.89,2.07,2.05,2.01
